Starting Sample AI Mock script (Multi-Campaign). Target: http://localhost:3000/api/events
[00:36:35] Sent data for Promo Skincare Baru. Status: 200
[00:36:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:40] Sent data for Promo Skincare Baru. Status: 200
[00:36:42] Sent data for Promo Skincare Baru. Status: 200
[00:36:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:51] Sent data for Iklan Mobil Listrik. Status: 200
[00:36:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:36:55] Sent data for Promo Skincare Baru. Status: 200
[00:36:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:00] Sent data for Promo Skincare Baru. Status: 200
[00:37:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:08] Sent data for Promo Skincare Baru. Status: 200
[00:37:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:11] Sent data for Promo Skincare Baru. Status: 200
[00:37:13] Sent data for Promo Skincare Baru. Status: 200
[00:37:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:17] Sent data for Promo Skincare Baru. Status: 200
[00:37:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:21] Sent data for Promo Skincare Baru. Status: 200
[00:37:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:29] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:31] Sent data for Promo Skincare Baru. Status: 200
[00:37:33] Sent data for Promo Skincare Baru. Status: 200
[00:37:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:45] Sent data for Promo Skincare Baru. Status: 200
[00:37:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:52] Sent data for Promo Skincare Baru. Status: 200
[00:37:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:37:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:37:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:01] Sent data for Promo Skincare Baru. Status: 200
[00:38:04] Sent data for Promo Skincare Baru. Status: 200
[00:38:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:09] Sent data for Promo Skincare Baru. Status: 200
[00:38:12] Sent data for Promo Skincare Baru. Status: 200
[00:38:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:16] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:29] Sent data for Promo Skincare Baru. Status: 200
[00:38:32] Sent data for Promo Skincare Baru. Status: 200
[00:38:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:38:38] Sent data for Promo Skincare Baru. Status: 200
[00:38:41] Sent data for Promo Skincare Baru. Status: 200
[00:38:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:48] Sent data for Promo Skincare Baru. Status: 200
[00:38:50] Sent data for Promo Skincare Baru. Status: 200
[00:38:52] Sent data for Promo Skincare Baru. Status: 200
[00:38:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:38:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:08] Sent data for Promo Skincare Baru. Status: 200
[00:39:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:14] Sent data for Promo Skincare Baru. Status: 200
[00:39:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:20] Sent data for Promo Skincare Baru. Status: 200
[00:39:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:25] Sent data for Promo Skincare Baru. Status: 200
[00:39:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:29] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:34] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:39:51] Sent data for Promo Skincare Baru. Status: 200
[00:39:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:39:57] Sent data for Promo Skincare Baru. Status: 200
[00:39:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:01] Sent data for Promo Skincare Baru. Status: 200
[00:40:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:13] Sent data for Promo Skincare Baru. Status: 200
[00:40:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:18] Sent data for Promo Skincare Baru. Status: 200
[00:40:21] Sent data for Promo Skincare Baru. Status: 200
[00:40:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:30] Sent data for Promo Skincare Baru. Status: 200
[00:40:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:36] Sent data for Promo Skincare Baru. Status: 200
[00:40:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:41] Sent data for Promo Skincare Baru. Status: 200
[00:40:42] Sent data for Promo Skincare Baru. Status: 200
[00:40:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:45] Sent data for Peluncuran Minuman Energi. Status: 200
[00:40:46] Sent data for Promo Skincare Baru. Status: 200
[00:40:48] Sent data for Promo Skincare Baru. Status: 200
[00:40:51] Sent data for Promo Skincare Baru. Status: 200
[00:40:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:40:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:05] Sent data for Promo Skincare Baru. Status: 200
[00:41:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:09] Sent data for Promo Skincare Baru. Status: 200
[00:41:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:13] Sent data for Promo Skincare Baru. Status: 200
[00:41:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:23] Sent data for Promo Skincare Baru. Status: 200
[00:41:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:36] Sent data for Promo Skincare Baru. Status: 200
[00:41:39] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:43] Sent data for Promo Skincare Baru. Status: 200
[00:41:46] Sent data for Promo Skincare Baru. Status: 200
[00:41:48] Sent data for Promo Skincare Baru. Status: 200
[00:41:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:41:54] Sent data for Promo Skincare Baru. Status: 200
[00:41:57] Sent data for Promo Skincare Baru. Status: 200
[00:41:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:41:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:13] Sent data for Promo Skincare Baru. Status: 200
[00:42:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:18] Sent data for Promo Skincare Baru. Status: 200
[00:42:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:26] Sent data for Promo Skincare Baru. Status: 200
[00:42:29] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:34] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:37] Sent data for Promo Skincare Baru. Status: 200
[00:42:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:41] Sent data for Promo Skincare Baru. Status: 200
[00:42:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:42:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:45] Sent data for Promo Skincare Baru. Status: 200
[00:42:48] Sent data for Promo Skincare Baru. Status: 200
[00:42:49] Sent data for Promo Skincare Baru. Status: 200
[00:42:51] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:54] Sent data for Promo Skincare Baru. Status: 200
[00:42:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:42:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:00] Sent data for Promo Skincare Baru. Status: 200
[00:43:02] Sent data for Promo Skincare Baru. Status: 200
[00:43:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:05] Sent data for Promo Skincare Baru. Status: 200
[00:43:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:11] Sent data for Promo Skincare Baru. Status: 200
[00:43:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:16] Sent data for Promo Skincare Baru. Status: 200
[00:43:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:25] Sent data for Promo Skincare Baru. Status: 200
[00:43:27] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:33] Sent data for Promo Skincare Baru. Status: 200
[00:43:35] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:42] Sent data for Promo Skincare Baru. Status: 200
[00:43:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:43:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:43:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:09] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:13] Sent data for Promo Skincare Baru. Status: 200
[00:44:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:17] Sent data for Promo Skincare Baru. Status: 200
[00:44:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:34] Sent data for Promo Skincare Baru. Status: 200
[00:44:36] Sent data for Promo Skincare Baru. Status: 200
[00:44:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:40] Sent data for Promo Skincare Baru. Status: 200
[00:44:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:44:45] Sent data for Promo Skincare Baru. Status: 200
[00:44:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:49] Sent data for Promo Skincare Baru. Status: 200
[00:44:51] Sent data for Promo Skincare Baru. Status: 200
[00:44:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:54] Sent data for Promo Skincare Baru. Status: 200
[00:44:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:44:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:45:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:04] Sent data for Promo Skincare Baru. Status: 200
[00:45:07] Sent data for Promo Skincare Baru. Status: 200
[00:45:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:09] Sent data for Promo Skincare Baru. Status: 200
[00:45:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:14] Sent data for Promo Skincare Baru. Status: 200
[00:45:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:22] Sent data for Promo Skincare Baru. Status: 200
[00:45:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:26] Sent data for Promo Skincare Baru. Status: 200
[00:45:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:45:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:33] Sent data for Promo Skincare Baru. Status: 200
[00:45:36] Sent data for Promo Skincare Baru. Status: 200
[00:45:38] Sent data for Promo Skincare Baru. Status: 200
[00:45:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:44] Sent data for Promo Skincare Baru. Status: 200
[00:45:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:45:49] Sent data for Promo Skincare Baru. Status: 200
[00:45:51] Sent data for Promo Skincare Baru. Status: 200
[00:45:53] Sent data for Promo Skincare Baru. Status: 200
[00:45:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:45:57] Sent data for Promo Skincare Baru. Status: 200
[00:45:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:15] Sent data for Promo Skincare Baru. Status: 200
[00:46:17] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:28] Sent data for Promo Skincare Baru. Status: 200
[00:46:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:35] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:40] Sent data for Promo Skincare Baru. Status: 200
[00:46:41] Sent data for Promo Skincare Baru. Status: 200
[00:46:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:46:45] Sent data for Promo Skincare Baru. Status: 200
[00:46:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:46:53] Sent data for Promo Skincare Baru. Status: 200
[00:46:56] Sent data for Promo Skincare Baru. Status: 200
[00:46:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:01] Sent data for Promo Skincare Baru. Status: 200
[00:47:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:03] Sent data for Promo Skincare Baru. Status: 200
[00:47:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:16] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:29] Sent data for Promo Skincare Baru. Status: 200
[00:47:31] Sent data for Promo Skincare Baru. Status: 200
[00:47:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:35] Sent data for Promo Skincare Baru. Status: 200
[00:47:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:40] Sent data for Promo Skincare Baru. Status: 200
[00:47:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:46] Sent data for Promo Skincare Baru. Status: 200
[00:47:49] Sent data for Promo Skincare Baru. Status: 200
[00:47:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:47:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:47:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:00] Sent data for Promo Skincare Baru. Status: 200
[00:48:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:09] Sent data for Promo Skincare Baru. Status: 200
[00:48:12] Sent data for Promo Skincare Baru. Status: 200
[00:48:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:17] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:23] Sent data for Promo Skincare Baru. Status: 200
[00:48:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:28] Sent data for Promo Skincare Baru. Status: 200
[00:48:30] Sent data for Promo Skincare Baru. Status: 200
[00:48:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:34] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:35] Sent data for Promo Skincare Baru. Status: 200
[00:48:37] Sent data for Promo Skincare Baru. Status: 200
[00:48:40] Sent data for Promo Skincare Baru. Status: 200
[00:48:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:44] Sent data for Promo Skincare Baru. Status: 200
[00:48:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:49] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:48:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:48:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:00] Sent data for Promo Skincare Baru. Status: 200
[00:49:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:04] Sent data for Promo Skincare Baru. Status: 200
[00:49:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:14] Sent data for Promo Skincare Baru. Status: 200
[00:49:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:23] Sent data for Promo Skincare Baru. Status: 200
[00:49:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:29] Sent data for Promo Skincare Baru. Status: 200
[00:49:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:38] Sent data for Promo Skincare Baru. Status: 200
[00:49:40] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:49:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:48] Sent data for Promo Skincare Baru. Status: 200
[00:49:50] Sent data for Promo Skincare Baru. Status: 200
[00:49:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:49:55] Sent data for Promo Skincare Baru. Status: 200
[00:49:56] Sent data for Promo Skincare Baru. Status: 200
[00:49:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:06] Sent data for Promo Skincare Baru. Status: 200
[00:50:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:13] Sent data for Promo Skincare Baru. Status: 200
[00:50:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:17] Sent data for Promo Skincare Baru. Status: 200
[00:50:19] Sent data for Promo Skincare Baru. Status: 200
[00:50:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:29] Sent data for Promo Skincare Baru. Status: 200
[00:50:32] Sent data for Promo Skincare Baru. Status: 200
[00:50:34] Sent data for Promo Skincare Baru. Status: 200
[00:50:36] Sent data for Promo Skincare Baru. Status: 200
[00:50:39] Sent data for Promo Skincare Baru. Status: 200
[00:50:41] Sent data for Promo Skincare Baru. Status: 200
[00:50:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:50:47] Sent data for Promo Skincare Baru. Status: 200
[00:50:49] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:54] Sent data for Promo Skincare Baru. Status: 200
[00:50:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:50:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:11] Sent data for Promo Skincare Baru. Status: 200
[00:51:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:16] Sent data for Promo Skincare Baru. Status: 200
[00:51:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:21] Sent data for Promo Skincare Baru. Status: 200
[00:51:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:28] Sent data for Promo Skincare Baru. Status: 200
[00:51:30] Sent data for Promo Skincare Baru. Status: 200
[00:51:31] Sent data for Promo Skincare Baru. Status: 200
[00:51:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:35] Sent data for Promo Skincare Baru. Status: 200
[00:51:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:41] Sent data for Promo Skincare Baru. Status: 200
[00:51:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:45] Sent data for Promo Skincare Baru. Status: 200
[00:51:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:51:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:51:58] Sent data for Promo Skincare Baru. Status: 200
[00:51:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:52:01] Sent data for Peluncuran Minuman Energi. Status: 200
